specobjid,ra,dec,programname,survey,objtype,class,subclass,plate,mjd,fiberid,spec_dr,spec_url,ps1_sep,nearest_psid,psid_count,mos_sep,nearest_mos_catalogid
5.281826032121549e+17,134.77591,1.3268208,legacy,sdss,HOT_STD,STAR,WD,469,51913,493,17,https://data.sdss.org/sas/dr17/sdss/spectro/redux/26/spectra/0469/spec-0469-51913-0493.fits,0.20687772504501228,109591347759552600,4,0.21947116096156574,27021598102749535
1.7076530364506984e+19,134.77595,1.3267627,eFEDS2,bhm-mwm,QSO,STAR,WDcooler,15167,59252,23,18,https://dr18.sdss.org/sas/dr18/spectro/boss/redux/v6_0_4/spectra/full/15167p/59252/spec-15167-59252-04545189527.fits,0.04999743220950825,109591347759552600,4,0.034655940767284836,27021598102749535
1.707889156581152e+19,134.77595,1.3267627,eFEDS2,bhm-mwm,QSO,STAR,O8/O9 (167771),15169,59257,421,18,https://dr18.sdss.org/sas/dr18/spectro/boss/redux/v6_0_4/spectra/full/15169p/59257/spec-15169-59257-04545189527.fits,0.04999743220950825,109591347759552600,4,0.034655940767284836,27021598102749535
1.7078903111623135e+19,134.77595,1.3267627,eFEDS2,bhm-mwm,QSO,STAR,O8/O9 (167771),15169,59313,463,18,https://dr18.sdss.org/sas/dr18/spectro/boss/redux/v6_0_4/spectra/full/15169p/59313/spec-15169-59313-04545189527.fits,0.04999743220950825,109591347759552600,4,0.034655940767284836,27021598102749535
5.280921683807703e+17,134.70181,0.90952983,legacy,sdss,SPECTROPHOTO_STD,STAR,F5,469,51913,164,17,https://data.sdss.org/sas/dr17/sdss/spectro/redux/26/spectra/0469/spec-0469-51913-0164.fits,0.3243237288314822,109091347018011804,3,0.3438288732134302,27021598102736831
1.7078900911660356e+19,134.70177,0.90941126,eFEDS2,bhm-mwm,SPECTROPHOTO_STD,STAR,F3/F5V (30743),15169,59257,455,18,https://dr18.sdss.org/sas/dr18/spectro/boss/redux/v6_0_4/spectra/full/15169p/59257/spec-15169-59257-04545176691.fits,0.12757697329697587,109091347018011804,3,0.10788237915040515,27021598102736831
1.7078909158937088e+19,134.70177,0.90941126,eFEDS2,bhm-mwm,SPECTROPHOTO_STD,STAR,F3/F5V (30743),15169,59313,485,18,https://dr18.sdss.org/sas/dr18/spectro/boss/redux/v6_0_4/spectra/full/15169p/59313/spec-15169-59313-04545176691.fits,0.12757697329697587,109091347018011804,3,0.10788237915040515,27021598102736831
1.7059639116387078e+19,134.6402,1.2438843,eFEDS1,bhm-mwm,SKY,QSO,,15152,59208,13,18,https://dr18.sdss.org/sas/dr18/spectro/boss/redux/v6_0_4/spectra/full/15152p/59208/spec-15152-59208-07609144011.fits,12.353996239253151,109491346433884830,3,97.94197823088344,27021598102737794
1.705626554022103e+19,134.6402,1.2438843,eFEDS1,bhm-mwm,SKY,GALAXY,,15149,59231,28,18,https://dr18.sdss.org/sas/dr18/spectro/boss/redux/v6_0_4/spectra/full/15149p/59231/spec-15149-59231-07609144011.fits,12.353996239253151,109491346433884830,3,97.94197823088344,27021598102737794
1.707655235473954e+19,134.6402,1.2438843,eFEDS2,bhm-mwm,SKY,GALAXY,,15167,59252,103,18,https://dr18.sdss.org/sas/dr18/spectro/boss/redux/v6_0_4/spectra/full/15167p/59252/spec-15167-59252-07609144011.fits,12.353996239253151,109491346433884830,3,97.94197823088344,27021598102737794
1.7076567198146515e+19,134.49134,1.337793,eFEDS2,bhm-mwm,QSO,STAR,M6III (148783),15167,59252,157,18,https://dr18.sdss.org/sas/dr18/spectro/boss/redux/v6_0_4/spectra/full/15167p/59252/spec-15167-59252-04545187554.fits,0.9672465919397425,109601344910726106,3,0.6733028338172005,27021598102747581
1.7078901186538263e+19,134.49134,1.337793,eFEDS2,bhm-mwm,QSO,STAR,B2Iaevar (41117),15169,59257,456,18,https://dr18.sdss.org/sas/dr18/spectro/boss/redux/v6_0_4/spectra/full/15169p/59257/spec-15169-59257-04545187554.fits,0.9672465919397425,109601344910726106,3,0.6733028338172005,27021598102747581
